project_id,name,url,category,subcategory,location,status,goal,pledged,funded_percentage,backers,funded_date,levels,reward_levels,updates,comments,duration
371533735,Zombie Golf,http://www.kickstarter.com/projects/280193696/zombie-golf,Games,Board & Card Games,"Columbus, OH",live,7500.0,792.0,0.1056,23,2012-06-14 18:38:14+00:00,6,"$1,$10,$25,$30,$50,$75",0,3,30.0
372354745,Cartoona,http://www.kickstarter.com/projects/478379924/cartoona,Games,Board & Card Games,"Charlotte, NC",successful,14000.0,16107.0,1.150513571,408,2012-04-05 15:59:57+00:00,18,"$3,$8,$15,$17,$18,$25,$30,$40,$55,$65,$75,$100,$100,$160,$250,$500,$500,$2,850",29,75,47.96
374177999,Dungeon Crawler ECG Mines of Khurgan Expansion!,http://www.kickstarter.com/projects/1941357427/dungeon-crawler-ecg-mines-of-khurgan-expansion,Games,Board & Card Games,"Kitchener, Canada",live,5000.0,1512.0,0.3024,33,2012-07-01 03:59:00+00:00,9,"$5,$15,$30,$50,$100,$250,$500,$1,000,$5,000",7,4,60.0
374524179,Pizza Theory - The Pizza Toppings Game,http://www.kickstarter.com/projects/167427101/pizza-theory-the-pizza-toppings-game,Games,Board & Card Games,"Chicago, IL",successful,4175.0,8042.0,1.926311377,222,2011-12-30 19:29:57+00:00,7,"$1,$22,$25,$45,$75,$100,$1,000",8,32,60.04
379266425,jumpSHOT table basketball,http://www.kickstarter.com/projects/jumpshot/jumpshottm-table-basketball,Games,Board & Card Games,"Los Angeles, CA",failed,4000.0,27.0,0.00675,1,2010-12-20 04:00:00+00:00,7,"$1,$5,$10,$27,$50,$100,$1,000",6,0,66.16
382571091,3-Dimensional Playing card deck that plays many games.,http://www.kickstarter.com/projects/tripletopper/3-dimensional-playing-card-deck-that-plays-many-ga,Games,Board & Card Games,"Seville, OH",failed,6000.0,90.0,0.015,3,2011-12-12 22:20:05+00:00,3,"$10,$20,$30",0,0,60.04
384511708,CARD-tamen¢_Î¢ Rome - a new kind of educational card game,http://www.kickstarter.com/projects/tpg/card-tamentm-rome-a-new-kind-of-educational-card-g,Games,Board & Card Games,"Middletown, CT",successful,2000.0,2789.0,1.394665,76,2011-08-21 03:59:00+00:00,10,"$1,$5,$10,$15,$25,$50,$125,$250,$500,$1,000",5,1,31.23
396649365,Codigo Cube,http://www.kickstarter.com/projects/4clowns/codigo-cube-0,Games,Board & Card Games,"Scottsdale, AZ",failed,10000.0,206.0,0.0206,13,2012-04-04 15:23:33+00:00,9,"$1,$10,$25,$50,$75,$150,$450,$800,$1,500",1,5,30.0
414812349,Ultimate Drama,http://www.kickstarter.com/projects/1452186107/universal-drama,Games,Board & Card Games,"Baltimore, MD",failed,4200.0,272.0,0.06487619,15,2012-03-09 17:33:20+00:00,8,"$5,$15,$50,$100,$250,$500,$750,$1,000",2,2,30.0
415151505,The Ever Changing Steampunk DVD Board-game: TURN¢äÎ¢KEY,http://www.kickstarter.com/projects/5nerds/the-ever-changing-steampunk-dvd-board-game-turnkey,Games,Board & Card Games,"Denver, CO",live,1500.0,250.0,0.166666667,2,2012-06-07 23:35:18+00:00,7,"$1,$5,$15,$50,$100,$150,$200",4,0,30.0
416409570,'SACRED AWAKENING' Card Deck,http://www.kickstarter.com/projects/1310097854/sacred-awakening-card-deck,Games,Board & Card Games,"Makawao, HI",failed,5000.0,141.0,0.0282,3,2012-05-11 08:23:52+00:00,10,"$10,$25,$45,$90,$100,$150,$240,$300,$500,$1,000",0,2,60.0
422599588,Eminent Domain: The Next Evolution of Deck Building Games,http://www.kickstarter.com/projects/627547359/eminent-domain-the-next-evolution-of-deck-building,Games,Board & Card Games,"Tucson, AZ",successful,20000.0,48378.0,2.4189,699,2010-11-24 04:00:00+00:00,8,"$1,$35,$60,$90,$150,$200,$200,$2,500",64,119,29.58
427995509,Cheese!  A New Card Game Featuring Your Cheesy Photos!,http://www.kickstarter.com/projects/177136955/cheese-a-new-card-game-featuring-your-cheesy-photo,Games,Board & Card Games,"Dorr, MI",failed,10700.0,39.0,0.00364486,1,2012-04-26 02:00:00+00:00,10,"$15,$25,$40,$45,$60,$125,$250,$275,$350,$400",0,0,31.16
428804794,Tumblewood Game,http://www.kickstarter.com/projects/1868564898/tumblewood-game,Games,Board & Card Games,"Union, ME",successful,5000.0,5503.0,1.10065,69,2012-04-08 03:30:53+00:00,15,"$10,$19,$25,$29,$35,$45,$59,$74,$75,$98,$100,$251,$275,$501,$1,001",18,11,29.96
429405370,Mathul8 (Math-u-late),http://www.kickstarter.com/projects/matttubbs/mathul8,Games,Board & Card Games,"San Angelo, TX",live,17000.0,165.0,0.009705882,5,2012-06-16 04:56:37+00:00,15,"$1,$1,$10,$10,$15,$25,$35,$55,$55,$75,$85,$110,$500,$700,$1,000",5,0,30.0
431701819,The Phoenix Syndicate,http://www.kickstarter.com/projects/1889906682/the-phoenix-syndicate,Games,Board & Card Games,"Arlington, MA",failed,12000.0,6633.0,0.55275,119,2012-05-06 03:59:00+00:00,6,"$1,$45,$85,$125,$200,$750",2,7,32.31
432789628,Farewell to Fear: A Progressive Post-Fantasy RPG,http://www.kickstarter.com/projects/machineage/farewell-to-fear-a-progressive-post-fantasy-rpg,Games,Board & Card Games,"Anaheim, CA",successful,4000.0,18696.0,4.6741125,420,2012-05-21 02:00:00+00:00,13,"$1,$10,$35,$55,$65,$80,$85,$100,$150,$200,$250,$500,$1,000",22,49,30.6
433210758,Gunship: First Strike!,http://www.kickstarter.com/projects/1291246114/gunship-first-strike,Games,Board & Card Games,"Bristow, VA",successful,8500.0,84786.0,9.974827059,1106,2012-04-01 03:59:00+00:00,22,"$5,$40,$55,$65,$90,$90,$90,$90,$90,$90,$100,$105,$150,$250,$250,$250,$264,$300,$325,$330,$600,$650",53,289,46.04
434018842,Laser Cut Game Parts and Accessories,http://www.kickstarter.com/projects/1133945043/laser-cut-game-parts-and-accessories,Games,Board & Card Games,"Poughkeepsie, NY",live,1200.0,5900.0,4.916666667,117,2012-06-05 03:11:00+00:00,16,"$1,$5,$11,$15,$20,$22,$26,$29,$30,$30,$36,$38,$41,$55,$75,$100",10,34,27.14
437300917,World Conquerors,http://www.kickstarter.com/projects/1581450659/world-conquerors,Games,Board & Card Games,"Los Angeles, CA",successful,10000.0,10758.0,1.0758,140,2011-10-29 02:23:09+00:00,9,"$1,$15,$35,$45,$150,$200,$500,$540,$1,000",10,17,30.0
